Day,Product ID,Store ID,Actual_Demand,Baseline_Forecast,ML_Forecast,Final_Forecast,Forecast_Error
1970-01-01 00:00:00.000000027,P0002,S005,61,6.0,61.43038129288658,61.43038129288658,-0.43038129288657956
1970-01-01 00:00:00.000000027,P0002,S005,231,61.0,230.89666717884404,230.89666717884404,0.10333282115595921
1970-01-01 00:00:00.000000027,P0003,S002,63,104.0,62.96650994232089,62.96650994232089,0.03349005767910995
1970-01-01 00:00:00.000000027,P0010,S004,112,126.0,112.02791294985644,112.02791294985644,-0.027912949856442992
1970-01-01 00:00:00.000000027,P0003,S002,87,127.0,87.0960339634183,87.0960339634183,-0.09603396341829296
1970-01-01 00:00:00.000000027,P0003,S002,101,87.0,100.67426444278696,100.67426444278696,0.3257355572130365
1970-01-01 00:00:00.000000027,P0003,S002,142,101.0,140.92372319031708,140.92372319031708,1.0762768096829234
1970-01-01 00:00:00.000000027,P0003,S002,45,142.0,44.53091313698817,44.53091313698817,0.46908686301183167
1970-01-01 00:00:00.000000027,P0003,S002,127,63.0,126.78884119305343,126.78884119305343,0.21115880694657108
1970-01-01 00:00:00.000000027,P0002,S003,27,226.0,26.952240347497053,26.952240347497053,0.04775965250294689
1970-01-01 00:00:00.000000027,P0002,S005,268,328.0,268.53772321049314,268.53772321049314,-0.5377232104931409
1970-01-01 00:00:00.000000027,P0002,S005,66,268.0,65.93922909423269,65.93922909423269,0.060770905767313366
1970-01-01 00:00:00.000000027,P0002,S005,47,66.0,47.12410764043721,47.12410764043721,-0.12410764043720945
1970-01-01 00:00:00.000000027,P0002,S005,88,47.0,88.39578077466223,88.39578077466223,-0.39578077466222794
1970-01-01 00:00:00.000000027,P0002,S005,141,231.0,140.40986858025053,140.40986858025053,0.5901314197494685
1970-01-01 00:00:00.000000027,P0002,S005,30,88.0,30.61430690969864,30.61430690969864,-0.6143069096986409
1970-01-01 00:00:00.000000027,P0002,S003,57,27.0,56.99918756058285,56.99918756058285,0.0008124394171531435
1970-01-01 00:00:00.000000027,P0002,S003,161,57.0,160.48107669017188,160.48107669017188,0.518923309828125
1970-01-01 00:00:00.000000027,P0010,S004,224,49.0,223.63492211908658,223.63492211908658,0.3650778809134181
1970-01-01 00:00:00.000000027,P0010,S004,49,65.0,49.09978012760233,49.09978012760233,-0.09978012760232957
1970-01-01 00:00:00.000000027,P0010,S004,65,261.0,65.05254766939775,65.05254766939775,-0.05254766939775379
1970-01-01 00:00:00.000000027,P0010,S004,261,112.0,261.20146183316194,261.20146183316194,-0.2014618331619431
1970-01-01 00:00:00.000000027,P0002,S005,328,293.0,327.10032362783596,327.10032362783596,0.8996763721640377
1970-01-01 00:00:00.000000027,P0002,S005,38,141.0,37.88412951879255,37.88412951879255,0.1158704812074518
1970-01-01 00:00:00.000000027,P0010,S004,74,192.0,73.73390736596113,73.73390736596113,0.26609263403886985
1970-01-01 00:00:00.000000027,P0002,S005,181,58.0,181.48651753475565,181.48651753475565,-0.48651753475564874
1970-01-01 00:00:00.000000027,P0010,S004,83,9.0,82.83311099769058,82.83311099769058,0.16688900230941783
1970-01-01 00:00:00.000000027,P0010,S004,247,83.0,248.38870427137448,248.38870427137448,-1.388704271374479
1970-01-01 00:00:00.000000027,P0002,S003,58,36.0,58.18255437874921,58.18255437874921,-0.18255437874920943
1970-01-01 00:00:00.000000027,P0002,S003,36,167.0,36.296668967586825,36.296668967586825,-0.29666896758682526
1970-01-01 00:00:00.000000027,P0002,S003,167,161.0,167.06004432360675,167.06004432360675,-0.060044323606746275
1970-01-01 00:00:00.000000027,P0002,S003,120,133.0,119.87635768637047,119.87635768637047,0.12364231362953149
1970-01-01 00:00:00.000000027,P0002,S003,43,120.0,43.16013921958336,43.16013921958336,-0.16013921958335686
1970-01-01 00:00:00.000000027,P0002,S003,133,89.0,132.6641661247761,132.6641661247761,0.33583387522389785
1970-01-01 00:00:00.000000027,P0002,S003,89,328.0,89.19807437366025,89.19807437366025,-0.19807437366024772
1970-01-01 00:00:00.000000027,P0002,S003,328,58.0,327.5206185382796,327.5206185382796,0.4793814617203793
1970-01-01 00:00:00.000000027,P0002,S003,13,43.0,13.319563418500579,13.319563418500579,-0.3195634185005787
1970-01-01 00:00:00.000000027,P0002,S005,73,39.0,72.87776699468401,72.87776699468401,0.1222330053159908
1970-01-01 00:00:00.000000027,P0002,S005,39,88.0,39.564541218544406,39.564541218544406,-0.5645412185444059
1970-01-01 00:00:00.000000027,P0002,S005,88,18.0,88.37767591620859,88.37767591620859,-0.3776759162085881
1970-01-01 00:00:00.000000027,P0002,S005,18,175.0,17.361253154608782,17.361253154608782,0.6387468453912177
1970-01-01 00:00:00.000000027,P0002,S003,293,13.0,291.3492223335986,291.3492223335986,1.6507776664013818
1970-01-01 00:00:00.000000027,P0002,S003,221,293.0,221.28203569424937,221.28203569424937,-0.28203569424937314
1970-01-01 00:00:00.000000027,P0002,S005,102,73.0,102.03926156910545,102.03926156910545,-0.03926156910544876
1970-01-01 00:00:00.000000027,P0002,S005,293,102.0,291.3960698745521,291.3960698745521,1.6039301254479028
1970-01-01 00:00:00.000000027,P0010,S004,9,313.0,9.197215517637904,9.197215517637904,-0.19721551763790401
1970-01-01 00:00:00.000000027,P0010,S004,313,18.0,312.77510215301857,312.77510215301857,0.22489784698143467
1970-01-01 00:00:00.000000027,P0010,S004,18,74.0,17.50379730213132,17.50379730213132,0.49620269786867865
1970-01-01 00:00:00.000000027,P0010,S004,325,126.0,326.20048560688303,326.20048560688303,-1.200485606883035
1970-01-01 00:00:00.000000027,P0010,S004,126,224.0,126.23760254623201,126.23760254623201,-0.2376025462320115
1970-01-01 00:00:00.000000027,P0002,S005,175,181.0,174.47320706976024,174.47320706976024,0.5267929302397647
1970-01-01 00:00:00.000000027,P0002,S005,58,38.0,58.02707982475852,58.02707982475852,-0.02707982475852333
1970-01-01 00:00:00.000000027,P0010,S004,192,325.0,192.5908427847329,192.5908427847329,-0.5908427847328994
1970-01-01 00:00:00.000000027,P0008,S003,149,86.0,148.49937922514653,148.49937922514653,0.5006207748534734
1970-01-01 00:00:00.000000027,P0010,S004,361,142.0,361.86396462867975,361.86396462867975,-0.8639646286797529
1970-01-01 00:00:00.000000027,P0005,S003,255,225.0,253.7684510183795,253.7684510183795,1.2315489816205059
1970-01-01 00:00:00.000000027,P0005,S003,225,40.0,225.42692132203808,225.42692132203808,-0.4269213220380834
1970-01-01 00:00:00.000000027,P0005,S003,40,121.0,40.50728255600221,40.50728255600221,-0.5072825560022096
1970-01-01 00:00:00.000000027,P0005,S003,121,183.0,120.80733461887162,120.80733461887162,0.1926653811283785
1970-01-01 00:00:00.000000027,P0005,S003,183,11.0,183.56754335432325,183.56754335432325,-0.5675433543232486
1970-01-01 00:00:00.000000027,P0005,S003,11,257.0,10.507539725093988,10.507539725093988,0.4924602749060121
1970-01-01 00:00:00.000000027,P0013,S001,206,139.0,205.345050741752,205.345050741752,0.6549492582479957
1970-01-01 00:00:00.000000027,P0013,S001,139,84.0,138.82636498289352,138.82636498289352,0.1736350171064771
1970-01-01 00:00:00.000000027,P0013,S001,84,82.0,83.76966539320225,83.76966539320225,0.2303346067977543
1970-01-01 00:00:00.000000027,P0013,S001,82,14.0,83.25123617749067,83.25123617749067,-1.251236177490668
1970-01-01 00:00:00.000000027,P0013,S001,14,81.0,13.601460011933597,13.601460011933597,0.39853998806640334
1970-01-01 00:00:00.000000027,P0013,S001,81,61.0,80.82482467931253,80.82482467931253,0.17517532068747244
1970-01-01 00:00:00.000000027,P0013,S001,61,15.0,61.17987901680489,61.17987901680489,-0.1798790168048896
1970-01-01 00:00:00.000000027,P0013,S001,15,282.0,15.95521814622083,15.95521814622083,-0.9552181462208296
1970-01-01 00:00:00.000000027,P0013,S001,282,34.0,281.9479210394221,281.9479210394221,0.0520789605778873
1970-01-01 00:00:00.000000027,P0013,S001,34,68.0,34.914917816549945,34.914917816549945,-0.914917816549945
1970-01-01 00:00:00.000000027,P0013,S001,68,361.0,68.47402151773268,68.47402151773268,-0.4740215177326803
1970-01-01 00:00:00.000000027,P0013,S001,361,26.0,362.56962690556406,362.56962690556406,-1.5696269055640641
1970-01-01 00:00:00.000000027,P0013,S001,26,5.0,26.58437602274065,26.58437602274065,-0.5843760227406491
1970-01-01 00:00:00.000000027,P0013,S001,5,168.0,4.7341058558907925,4.7341058558907925,0.26589414410920753
1970-01-01 00:00:00.000000027,P0013,S001,168,112.0,168.77332771664294,168.77332771664294,-0.7733277166429389
1970-01-01 00:00:00.000000027,P0013,S001,112,27.0,111.91814881269852,111.91814881269852,0.08185118730148133
1970-01-01 00:00:00.000000027,P0013,S001,27,312.0,26.785478810302518,26.785478810302518,0.21452118969748213
1970-01-01 00:00:00.000000027,P0013,S001,312,49.0,313.5798853156456,313.5798853156456,-1.5798853156455834
1970-01-01 00:00:00.000000027,P0013,S001,49,136.0,48.35593393395985,48.35593393395985,0.6440660660401534
1970-01-01 00:00:00.000000027,P0013,S001,136,139.0,136.71068847199228,136.71068847199228,-0.7106884719922846
1970-01-01 00:00:00.000000027,P0013,S001,139,241.0,139.2026786490609,139.2026786490609,-0.20267864906091404
1970-01-01 00:00:00.000000027,P0013,S001,241,162.0,241.60450371046875,241.60450371046875,-0.6045037104687481
1970-01-01 00:00:00.000000027,P0013,S001,162,144.0,161.3873000360443,161.3873000360443,0.6126999639556914
1970-01-01 00:00:00.000000027,P0005,S003,25,255.0,24.842112857888893,24.842112857888893,0.15788714211110744
1970-01-01 00:00:00.000000027,P0013,S001,144,12.0,143.5728435618955,143.5728435618955,0.4271564381045039
1970-01-01 00:00:00.000000027,P0005,S003,70,25.0,69.72336706739706,69.72336706739706,0.2766329326029364
1970-01-01 00:00:00.000000027,P0005,S003,14,375.0,14.850373969676689,14.850373969676689,-0.8503739696766885
1970-01-01 00:00:00.000000027,P0007,S003,148,250.0,148.33153261176903,148.33153261176903,-0.3315326117690347
1970-01-01 00:00:00.000000027,P0007,S003,12,148.0,12.637456123703881,12.637456123703881,-0.6374561237038812
1970-01-01 00:00:00.000000027,P0007,S003,153,12.0,153.22727292181955,153.22727292181955,-0.22727292181954795
1970-01-01 00:00:00.000000027,P0007,S003,50,153.0,50.61687128618657,50.61687128618657,-0.6168712861865728
1970-01-01 00:00:00.000000027,P0007,S003,40,50.0,40.114503583140824,40.114503583140824,-0.11450358314082365
1970-01-01 00:00:00.000000027,P0007,S003,93,40.0,93.35687375767323,93.35687375767323,-0.3568737576732275
1970-01-01 00:00:00.000000027,P0007,S003,36,93.0,36.3933596972909,36.3933596972909,-0.39335969729089726
1970-01-01 00:00:00.000000027,P0007,S003,7,36.0,7.136818904550807,7.136818904550807,-0.13681890455080659
1970-01-01 00:00:00.000000027,P0007,S003,172,7.0,172.7592181900421,172.7592181900421,-0.7592181900421053
1970-01-01 00:00:00.000000027,P0020,S005,271,153.0,272.47613373307036,272.47613373307036,-1.4761337330703554
1970-01-01 00:00:00.000000027,P0020,S005,362,271.0,361.4673685980847,361.4673685980847,0.532631401915296
1970-01-01 00:00:00.000000027,P0020,S005,236,362.0,235.90516411259412,235.90516411259412,0.09483588740587834
1970-01-01 00:00:00.000000027,P0020,S005,357,236.0,356.6831756341779,356.6831756341779,0.31682436582207174
1970-01-01 00:00:00.000000027,P0020,S005,41,357.0,40.85043629275555,40.85043629275555,0.14956370724444668
1970-01-01 00:00:00.000000027,P0020,S005,247,41.0,248.2088174930535,248.2088174930535,-1.2088174930534876
1970-01-01 00:00:00.000000027,P0005,S003,89,343.0,89.62764531339852,89.62764531339852,-0.6276453133985171
