Date,Product ID,Store ID,Current_Inventory,Forecast_Demand,Inventory_Coverage,Stockout_Risk_Score,Stockout_Risk_Level,Overstock_Risk_Score,Overstock_Risk_Level,Decision
2023-09-18,P0007,S005,362,110.6801928817453,3.270684578466301,27.515643939232227,Low,17.5,Low,MONITOR
2023-09-18,P0010,S004,210,88.87195811172815,2.3629500740378866,51.7928980010856,Medium,0.0,Low,REORDER SOON
2023-09-18,P0003,S005,344,49.791506093546744,6.908808891092859,26.900774789229605,Low,17.5,Low,MONITOR
2023-09-18,P0001,S005,268,264.38117244868425,1.013687917024493,51.47146729540956,Medium,0.0,Low,REORDER SOON
2023-09-18,P0002,S001,121,62.82748468315606,1.9259087103393127,47.499609656498414,Medium,6.0,Low,REORDER SOON
2023-09-18,P0003,S004,454,121.29429986779606,3.7429623691701455,22.947121481737206,Low,23.5,Low,MONITOR
2023-09-18,P0014,S002,51,49.34613327714935,1.0335156295542312,47.61481095989524,Medium,6.0,Low,REORDER SOON
2023-09-18,P0018,S004,181,4.6464040174263745,38.95485612554528,4.54115518212106,Low,76.0,High,REDUCE INVENTORY
2023-09-18,P0005,S005,182,41.26988602189452,4.409995217904049,28.290357788671532,Low,17.5,Low,MONITOR
2023-09-18,P0019,S001,66,59.86100308157647,1.1025541939225028,52.02208973468949,Medium,0.0,Low,REORDER SOON
2023-09-18,P0018,S001,472,219.05705768366744,2.1546897643517084,51.27781821546868,Medium,0.0,Low,REORDER SOON
2023-09-18,P0016,S001,272,137.1476433067149,1.9832641191777778,53.0,Medium,0.0,Low,REORDER SOON
2023-09-18,P0014,S004,135,124.17638724727051,1.0871632118848538,51.625369967956885,Medium,0.0,Low,REORDER SOON
2023-09-18,P0005,S001,249,62.39786171898521,3.9905213598728033,26.45857828123508,Low,17.5,Low,MONITOR
2023-09-18,P0008,S002,371,145.18889060213044,2.555291926685168,47.44860115287669,Medium,6.0,Low,REORDER SOON
2023-09-18,P0018,S002,83,12.182612191085829,6.812988766131138,28.040177293499347,Low,17.5,Low,MONITOR
2023-09-18,P0003,S003,202,0.19487380994463283,1036.5682287291036,10.428765922763127,Low,70.0,High,HOLD
2023-09-18,P0008,S001,145,91.18310039526914,1.5902069503168927,46.62541113964148,Medium,6.0,Low,REORDER SOON
2023-09-18,P0019,S002,168,102.54954553409608,1.6382325160489637,47.31745959696913,Medium,6.0,Low,REORDER SOON
2023-09-18,P0005,S003,207,3.9481073101466277,52.430185843229346,9.566796614938774,Low,70.0,High,HOLD
2023-09-18,P0004,S001,409,31.107190772798614,13.148085373162212,9.097694289171377,Low,49.0,Medium,HOLD
2023-09-18,P0003,S001,496,326.8749194264928,1.517399991624441,52.24759530305689,Medium,0.0,Low,REORDER SOON
2023-09-18,P0005,S002,61,42.83711440302248,1.4239988115468392,47.64672981906424,Medium,6.0,Low,REORDER SOON
2023-09-18,P0001,S002,316,313.2583136224534,1.0087521583891657,51.2917041563379,Medium,0.0,Low,REORDER SOON
2023-09-18,P0010,S003,216,127.56059641492055,1.693312873023968,51.571509965647415,Medium,0.0,Low,REORDER SOON
2023-09-18,P0020,S005,163,70.74811027136602,2.3039484641326347,48.03370603597433,Medium,6.0,Low,REORDER SOON
2023-09-18,P0019,S004,283,205.12627903882137,1.3796379543668345,51.01938987993551,Medium,0.0,Low,REORDER SOON
2023-09-18,P0019,S005,251,120.7866323701943,2.0780445242543046,51.95233678496423,Medium,0.0,Low,REORDER SOON
2023-09-18,P0013,S004,370,225.28328690044196,1.6423766054315063,48.019383393155636,Medium,6.0,Low,REORDER SOON
2023-09-18,P0014,S001,132,47.277800294866786,2.792008070949358,47.114804898811336,Medium,6.0,Low,REORDER SOON
2023-09-18,P0011,S005,417,76.35605857757378,5.4612562220763365,23.387143674723195,Low,23.5,Low,MONITOR
2023-09-18,P0016,S004,63,0.40969194727557967,153.7740744453124,10.496953131684679,Low,70.0,High,HOLD
2023-09-18,P0004,S003,463,6.443899654822022,71.85090159706837,9.19929683047477,Low,70.0,High,HOLD
2023-09-18,P0009,S003,445,381.36594359481734,1.1668582564173342,48.18542380063966,Medium,6.0,Low,REORDER SOON
2023-09-18,P0004,S002,207,90.08700968368937,2.297778566819032,47.726033893156504,Medium,6.0,Low,REORDER SOON
